,t,x,y,z
,0,0,0,0
,,,,
9023,90.23,11.9299904896,10.4954007785,33.0738609141
9024,90.24,11.7934713462,9.78868105298,33.4391001034
9025,90.25,11.6026904899,9.05302609666,33.6983441122
9026,90.26,11.3600580521,8.30508679867,33.8481104405
9027,90.27,11.0693393502,7.56141795941,33.8884170338
9028,90.28,10.7355167808,6.83762596934,33.822606303
9029,90.29,10.3645837465,6.14762436973,33.6569432763
9030,90.3,9.9632873498,5.50306307871,33.4000410529
9031,90.31,9.5388412576,4.9129711599,33.0621840614
9032,90.32,9.09863189443,4.38362333022,32.6546246187
9033,90.33,8.64993989194,3.91861275923,32.1889213551
9034,90.34,8.19969497367,3.5190917328,31.676372132
9035,90.35,7.75427706776,3.18412992028,31.1275735016
9036,90.36,7.31937043984,2.91113742999,30.5521179746
9037,90.37,6.89987196604,2.69630483953,29.9584228798
9038,90.38,6.49985000936,2.53502222771,29.3536723642
9039,90.39,6.12254708559,2.42225107215,28.7438475478
9040,90.4,5.77041766621,2.35283438833,28.1338182846
9041,90.41,5.44519189753,2.32174016119,27.5274720518
9042,90.42,5.14795642167,2.32424027081,26.9278597036
9043,90.43,4.87924453347,2.35603169503,26.3373428745
9044,90.44,4.63912929173,2.41330914074,25.7577327631
9045,90.45,4.42731468161,2.49279894834,25.1904142879
9046,90.46,4.24322132814,2.59176368237,24.6364529413
9047,90.47,4.08606448993,2.70798573955,24.0966840392
9048,90.48,3.95492307084,2.83973693224,23.5717855947
9049,90.49,3.84879916993,2.98573958333,23.0623368973
9050,90.5,3.76666826202,3.14512334217,22.5688652337
9051,90.51,3.70752049358,3.31738077295,22.0918832178
9052,90.52,3.67039382242,3.50232380047,21.6319190188
9053,90.53,3.65439985896,3.70004231726,21.1895415048
9054,90.54,3.65874330939,3.9108656406,20.7653820028
9055,90.55,3.68273590074,4.13532702879,20.3601540717
9056,90.56,3.72580560396,4.37413109689,19.9746724032
9057,90.57,3.78750187868,4.62812368451,19.6098717222
9058,90.58,3.86749755128,4.89826350112,19.2668263493
9059,90.59,3.96558781598,5.18559468643,18.9467709076
9060,90.6,4.08168671979,5.49121926004,18.6511224943
9061,90.61,4.21582136015,5.81626828287,18.3815044802
9062,90.62,4.36812389043,6.16187040363,18.1397719344
9063,90.63,4.538821293,6.52911631174,17.9280384767
9064,90.64,4.72822274272,6.91901746249,17.7487041247
9065,90.65,4.93670424524,7.33245728384,17.6044833952
